Bakken Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 45 , 112 ," (2,227)"," 132,027 ", 82 ," (1,789)"," 187,704 ",,
Feb-07, 42 , 113 ," (2,483)"," 131,832 ", 81 ," (1,934)"," 187,973 ",,
Mar-07, 44 , 114 ," (2,717)"," 133,264 ", 81 ," (2,066)"," 186,191 ",,
Apr-07, 47 , 115 ," (2,978)"," 132,782 ", 80 ," (2,214)"," 189,047 ",,
May-07, 46 , 115 ," (3,234)"," 137,284 ", 80 ," (2,359)"," 196,983 ",,
Jun-07, 46 , 116 ," (3,501)"," 136,141 ", 79 ," (2,510)"," 198,028 ",,
Jul-07, 53 , 116 ," (3,762)"," 138,122 ", 79 ," (2,657)"," 200,005 ",,
Aug-07, 55 , 117 ," (4,034)"," 139,601 ", 79 ," (2,811)"," 200,378 ",,
Sep-07, 50 , 118 ," (4,307)"," 140,432 ", 79 ," (2,966)"," 195,802 ",,
Oct-07, 52 , 118 ," (4,573)"," 145,072 ", 79 ," (3,117)"," 200,198 ",,
Nov-07, 54 , 120 ," (4,849)"," 143,043 ", 79 ," (3,275)"," 195,314 ",,
Dec-07, 58 , 120 ," (5,115)"," 147,262 ", 78 ," (3,429)"," 195,216 ",,
Jan-08, 55 , 131 ," (5,390)"," 147,551 ", 79 ," (3,588)"," 194,360 ",,
Feb-08, 60 , 139 ," (5,662)"," 147,278 ", 82 ," (3,746)"," 190,731 ",,
Mar-08, 63 , 149 ," (5,914)"," 152,691 ", 85 ," (3,893)"," 196,295 ",,
Apr-08, 64 , 159 ," (6,179)"," 159,575 ", 90 ," (4,048)"," 206,360 ",,
May-08, 70 , 174 ," (6,430)"," 167,064 ", 95 ," (4,192)"," 215,704 ",,
Jun-08, 77 , 186 ," (6,684)"," 177,037 ", 101 ," (4,336)"," 220,811 ",,
Jul-08, 75 , 200 ," (6,926)"," 181,666 ", 105 ," (4,471)"," 217,954 ",,
Aug-08, 76 , 195 ," (7,179)"," 187,772 ", 107 ," (4,605)"," 223,977 ",,
Sep-08, 77 , 192 ," (7,430)"," 201,884 ", 107 ," (4,739)"," 229,588 ",,
Oct-08, 80 , 191 ," (7,673)"," 217,145 ", 108 ," (4,868)"," 239,246 ",,
Nov-08, 90 , 182 ," (7,925)"," 228,676 ", 110 ," (5,002)"," 244,754 ",,
Dec-08, 87 , 182 ," (8,179)"," 213,976 ", 115 ," (5,137)"," 208,453 ",,
Jan-09, 73 , 189 ," (8,458)"," 198,440 ", 123 ," (5,294)"," 214,860 ",,
Feb-09, 65 , 205 ," (8,758)"," 204,036 ", 133 ," (5,466)"," 220,405 ",,
Mar-09, 51 , 224 ," (9,047)"," 208,191 ", 143 ," (5,633)"," 224,218 ",,
Apr-09, 42 , 247 ," (9,387)"," 210,224 ", 154 ," (5,828)"," 235,575 ",,
May-09, 35 , 271 ," (9,737)"," 218,019 ", 163 ," (6,023)"," 238,459 ",,
Jun-09, 35 , 293 ," (10,117)"," 226,011 ", 172 ," (6,229)"," 239,513 ",,
Jul-09, 40 , 312 ," (10,505)"," 237,888 ", 180 ," (6,444)"," 248,943 ",,
Aug-09, 44 , 343 ," (10,926)"," 241,509 ", 188 ," (6,688)"," 253,353 ",,
Sep-09, 47 , 335 ," (11,371)"," 247,689 ", 194 ," (6,957)"," 251,715 ",,
Oct-09, 51 , 336 ," (11,815)"," 250,686 ", 198 ," (7,235)"," 248,741 ",,
Nov-09, 60 , 332 ," (12,297)"," 254,303 ", 199 ," (7,543)"," 258,122 ",,
Dec-09, 66 , 322 ," (12,790)"," 251,250 ", 198 ," (7,867)"," 252,529 ",,
Jan-10, 74 , 308 ," (13,319)"," 248,804 ", 195 ," (8,214)"," 245,925 ",,
Feb-10, 85 , 296 ," (13,857)"," 271,176 ", 191 ," (8,550)"," 263,381 ",,
Mar-10, 97 , 288 ," (14,346)"," 286,230 ", 187 ," (8,835)"," 272,116 ",,
Apr-10, 101 , 282 ," (14,896)"," 293,473 ", 184 ," (9,140)"," 280,993 ",,
May-10, 103 , 278 ," (15,449)"," 308,613 ", 183 ," (9,445)"," 297,132 ",,
Jun-10, 116 , 271 ," (16,049)"," 323,687 ", 181 ," (9,791)"," 300,963 ",,
Jul-10, 124 , 262 ," (16,657)"," 332,657 ", 178 ," (10,159)"," 321,710 ",,
Aug-10, 134 , 251 ," (17,308)"," 341,612 ", 175 ," (10,567)"," 323,271 ",,
Sep-10, 132 , 232 ," (17,980)"," 356,678 ", 170 ," (11,014)"," 341,904 ",,
Oct-10, 140 , 218 ," (18,658)"," 356,495 ", 165 ," (11,497)"," 340,600 ",,
Nov-10, 143 , 205 ," (19,389)"," 370,139 ", 159 ," (12,052)"," 358,743 ",,
Dec-10, 148 , 196 ," (20,120)"," 356,310 ", 154 ," (12,647)"," 343,213 ",,
Jan-11, 156 , 191 ," (20,904)"," 353,534 ", 152 ," (13,324)"," 337,005 ",,
Feb-11, 156 , 191 ," (21,715)"," 360,391 ", 154 ," (14,063)"," 340,628 ",,
Mar-11, 161 , 196 ," (22,462)"," 372,284 ", 159 ," (14,762)"," 360,454 ",,
Apr-11, 168 , 206 ," (23,298)"," 363,196 ", 168 ," (15,558)"," 361,533 ",,
May-11, 169 , 218 ," (24,112)"," 375,663 ", 178 ," (16,349)"," 369,009 ",,
Jun-11, 170 , 231 ," (24,971)"," 397,622 ", 189 ," (17,208)"," 400,503 ",,
Jul-11, 166 , 243 ," (25,819)"," 438,908 ", 201 ," (18,085)"," 440,491 ",,
Aug-11, 180 , 253 ," (26,729)"," 458,239 ", 213 ," (19,054)"," 471,487 ",,
Sep-11, 190 , 265 ," (27,676)"," 476,712 ", 224 ," (20,084)"," 491,382 ",,
