Eagle Ford Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 51 , 42 ," (1,838)"," 53,994 "," 1,265 "," (52,871)"," 1,599,377 ",,
Feb-07, 56 , 40 ," (1,841)"," 56,285 "," 1,239 "," (54,024)"," 1,651,075 ",,
Mar-07, 58 , 39 ," (1,842)"," 54,826 "," 1,216 "," (55,034)"," 1,657,453 ",,
Apr-07, 56 , 38 ," (1,844)"," 56,724 "," 1,193 "," (56,125)"," 1,669,511 ",,
May-07, 55 , 37 ," (1,846)"," 56,678 "," 1,173 "," (57,162)"," 1,634,131 ",,
Jun-07, 60 , 36 ," (1,850)"," 54,165 "," 1,153 "," (58,222)"," 1,654,704 ",,
Jul-07, 63 , 35 ," (1,855)"," 53,086 "," 1,136 "," (59,238)"," 1,651,876 ",,
Aug-07, 60 , 34 ," (1,862)"," 53,000 "," 1,119 "," (60,281)"," 1,640,134 ",,
Sep-07, 60 , 32 ," (1,871)"," 54,341 "," 1,103 "," (61,314)"," 1,648,018 ",,
Oct-07, 53 , 31 ," (1,882)"," 52,458 "," 1,092 "," (62,302)"," 1,643,928 ",,
Nov-07, 56 , 31 ," (1,895)"," 53,991 "," 1,118 "," (63,307)"," 1,650,238 ",,
Dec-07, 58 , 31 ," (1,908)"," 53,310 "," 1,154 "," (64,254)"," 1,642,955 ",,
Jan-08, 55 , 31 ," (1,920)"," 53,319 "," 1,191 "," (65,187)"," 1,645,270 ",,
Feb-08, 49 , 31 ," (1,927)"," 53,786 "," 1,218 "," (66,044)"," 1,648,196 ",,
Mar-08, 60 , 31 ," (1,926)"," 55,754 "," 1,225 "," (66,726)"," 1,664,466 ",,
Apr-08, 67 , 31 ," (1,907)"," 54,701 "," 1,212 "," (67,221)"," 1,646,479 ",,
May-08, 71 , 32 ," (1,916)"," 54,597 "," 1,196 "," (67,778)"," 1,660,211 ",,
Jun-08, 64 , 33 ," (1,940)"," 54,903 "," 1,176 "," (68,467)"," 1,688,010 ",,
Jul-08, 64 , 35 ," (1,945)"," 53,779 "," 1,142 "," (69,074)"," 1,683,477 ",,
Aug-08, 68 , 34 ," (2,007)"," 54,540 "," 1,104 "," (69,913)"," 1,660,113 ",,
Sep-08, 67 , 34 ," (2,043)"," 53,847 "," 1,083 "," (70,532)"," 1,570,134 ",,
Oct-08, 73 , 33 ," (2,069)"," 57,699 "," 1,080 "," (70,885)"," 1,682,503 ",,
Nov-08, 72 , 33 ," (2,089)"," 58,394 "," 1,104 "," (70,892)"," 1,694,301 ",,
Dec-08, 62 , 33 ," (2,104)"," 57,280 "," 1,150 "," (70,560)"," 1,690,364 ",,
Jan-09, 46 , 34 ," (2,108)"," 55,312 "," 1,206 "," (69,831)"," 1,718,324 ",,
Feb-09, 39 , 34 ," (2,098)"," 55,002 "," 1,267 "," (68,864)"," 1,704,826 ",,
Mar-09, 37 , 34 ," (2,080)"," 53,305 "," 1,322 "," (67,846)"," 1,682,044 ",,
Apr-09, 37 , 35 ," (2,073)"," 53,961 "," 1,371 "," (67,109)"," 1,653,520 ",,
May-09, 32 , 37 ," (2,051)"," 50,832 "," 1,398 "," (65,913)"," 1,616,014 ",,
Jun-09, 30 , 40 ," (2,046)"," 49,161 "," 1,419 "," (65,250)"," 1,590,865 ",,
Jul-09, 34 , 44 ," (2,090)"," 48,394 "," 1,442 "," (65,048)"," 1,588,075 ",,
Aug-09, 39 , 48 ," (2,103)"," 47,719 "," 1,481 "," (64,644)"," 1,571,226 ",,
Sep-09, 46 , 51 ," (2,220)"," 49,408 "," 1,536 "," (65,277)"," 1,532,561 ",,
