Haynesville Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 170 , 6 ," (1,258)"," 60,137 ", 933 ," (120,728)"," 3,566,041 ",,
Feb-07, 179 , 7 ," (1,263)"," 60,803 ", 954 ," (125,857)"," 3,589,269 ",,
Mar-07, 179 , 7 ," (1,268)"," 61,462 ", 973 ," (130,472)"," 3,659,391 ",,
Apr-07, 186 , 7 ," (1,274)"," 60,344 ", 994 ," (135,564)"," 3,694,563 ",,
May-07, 184 , 7 ," (1,280)"," 59,192 "," 1,014 "," (140,480)"," 3,726,282 ",,
Jun-07, 179 , 7 ," (1,289)"," 58,217 "," 1,035 "," (145,560)"," 3,764,329 ",,
Jul-07, 188 , 7 ," (1,298)"," 57,073 "," 1,057 "," (150,482)"," 3,823,858 ",,
Aug-07, 189 , 7 ," (1,308)"," 57,737 "," 1,079 "," (155,582)"," 3,828,884 ",,
Sep-07, 182 , 8 ," (1,318)"," 58,030 "," 1,103 "," (160,699)"," 3,854,177 ",,
Oct-07, 181 , 8 ," (1,327)"," 59,603 "," 1,125 "," (165,668)"," 3,923,954 ",,
Nov-07, 184 , 8 ," (1,334)"," 60,957 "," 1,152 "," (170,813)"," 3,942,608 ",,
Dec-07, 186 , 8 ," (1,339)"," 60,581 "," 1,180 "," (175,796)"," 3,986,361 ",,
Jan-08, 175 , 8 ," (1,340)"," 62,953 "," 1,211 "," (180,937)"," 3,984,767 ",,
Feb-08, 176 , 8 ," (1,337)"," 62,871 "," 1,240 "," (186,048)"," 4,070,383 ",,
Mar-08, 178 , 8 ," (1,328)"," 61,552 "," 1,264 "," (190,749)"," 4,131,503 ",,
Apr-08, 179 , 8 ," (1,312)"," 62,643 "," 1,281 "," (195,560)"," 4,197,367 ",,
May-08, 190 , 7 ," (1,313)"," 60,865 "," 1,288 "," (200,041)"," 4,245,562 ",,
Jun-08, 199 , 7 ," (1,332)"," 60,758 "," 1,281 "," (204,626)"," 4,237,149 ",,
Jul-08, 199 , 7 ," (1,363)"," 60,070 "," 1,266 "," (209,050)"," 4,292,782 ",,
Aug-08, 222 , 6 ," (1,403)"," 58,887 "," 1,251 "," (213,591)"," 4,303,941 ",,
