Back to Contents,Data 4: No. 2 Heating Oil,
Sourcekey,EER_EPD2F_PF4_Y35NY_DPG,
Date,New York Harbor No. 2 Heating Oil Spot Price FOB (Dollars per Gallon),
"Jun 02, 1986",0.402,
"Jun 03, 1986",0.393,
"Jun 04, 1986",0.378,
"Jun 05, 1986",0.39,
"Jun 06, 1986",0.385,
"Jun 09, 1986",0.373,
"Jun 10, 1986",0.365,
"Jun 11, 1986",0.389,
"Jun 12, 1986",0.394,
"Jun 13, 1986",0.398,
"Jun 16, 1986",0.379,
"Jun 17, 1986",0.374,
"Jun 18, 1986",0.376,
"Jun 19, 1986",0.382,
"Jun 20, 1986",0.365,
"Jun 23, 1986",0.369,
"Jun 24, 1986",0.369,
"Jun 25, 1986",0.375,
"Jun 26, 1986",0.376,
"Jun 27, 1986",0.379,
"Jun 30, 1986",0.374,
"Jul 01, 1986",0.369,
"Jul 02, 1986",0.359,
"Jul 03, 1986",0.349,
"Jul 07, 1986",0.335,
"Jul 08, 1986",0.336,
"Jul 09, 1986",0.325,
"Jul 10, 1986",0.33,
"Jul 11, 1986",0.324,
"Jul 14, 1986",0.315,
"Jul 15, 1986",0.328,
"Jul 16, 1986",0.348,
"Jul 17, 1986",0.339,
"Jul 18, 1986",0.345,
"Jul 21, 1986",0.345,
"Jul 22, 1986",0.323,
"Jul 23, 1986",0.323,
"Jul 24, 1986",0.327,
"Jul 25, 1986",0.317,
"Jul 28, 1986",0.318,
"Jul 29, 1986",0.328,
"Jul 30, 1986",0.34,
"Jul 31, 1986",0.321,
"Aug 01, 1986",0.324,
"Aug 04, 1986",0.374,
"Aug 05, 1986",0.408,
"Aug 06, 1986",0.411,
"Aug 07, 1986",0.411,
"Aug 08, 1986",0.4,
"Aug 11, 1986",0.4,
"Aug 12, 1986",0.414,
"Aug 13, 1986",0.411,
"Aug 14, 1986",0.415,
"Aug 15, 1986",0.42,
"Aug 18, 1986",0.421,
"Aug 19, 1986",0.406,
"Aug 20, 1986",0.419,
"Aug 21, 1986",0.42,
"Aug 22, 1986",0.42,
"Aug 25, 1986",0.418,
"Aug 26, 1986",0.411,
"Aug 27, 1986",0.413,
"Aug 28, 1986",0.419,
"Aug 29, 1986",0.426,
"Sep 02, 1986",0.441,
"Sep 03, 1986",0.431,
"Sep 04, 1986",0.438,
"Sep 05, 1986",0.441,
"Sep 08, 1986",0.423,
"Sep 09, 1986",0.399,
"Sep 10, 1986",0.39,
"Sep 11, 1986",0.396,
"Sep 12, 1986",0.395,
"Sep 15, 1986",0.383,
"Sep 16, 1986",0.375,
"Sep 17, 1986",0.385,
"Sep 18, 1986",0.391,
"Sep 19, 1986",0.394,
