Marcellus Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 48 , 4 , (62)," 8,775 ", 463 ," (15,380)"," 1,144,948 ",,
Feb-07, 48 , 4 , (77)," 8,703 ", 469 ," (15,025)"," 1,156,223 ",,
Mar-07, 45 , 5 , (87)," 11,065 ", 474 ," (14,760)"," 1,162,618 ",,
Apr-07, 45 , 5 , (95)," 9,389 ", 480 ," (14,513)"," 1,179,106 ",,
May-07, 46 , 6 , (102)," 9,637 ", 486 ," (14,300)"," 1,203,280 ",,
Jun-07, 48 , 6 , (107)," 10,698 ", 494 ," (14,087)"," 1,216,559 ",,
Jul-07, 44 , 7 , (112)," 9,886 ", 501 ," (13,874)"," 1,222,818 ",,
Aug-07, 52 , 7 , (119)," 10,557 ", 509 ," (13,635)"," 1,231,571 ",,
Sep-07, 51 , 8 , (128)," 10,431 ", 518 ," (13,364)"," 1,273,155 ",,
Oct-07, 50 , 8 , (140)," 10,740 ", 526 ," (13,070)"," 1,278,526 ",,
Nov-07, 49 , 9 , (142)," 10,746 ", 534 ," (12,769)"," 1,298,498 ",,
Dec-07, 55 , 9 , (143)," 11,166 ", 541 ," (12,595)"," 1,294,370 ",,
Jan-08, 50 , 8 , (150)," 12,062 ", 549 ," (12,855)"," 1,290,765 ",,
Feb-08, 49 , 8 , (154)," 12,439 ", 563 ," (13,084)"," 1,316,846 ",,
Mar-08, 42 , 8 , (156)," 14,113 ", 579 ," (13,621)"," 1,323,546 ",,
Apr-08, 44 , 8 , (167)," 13,478 ", 598 ," (14,925)"," 1,335,982 ",,
May-08, 45 , 8 , (190)," 12,989 ", 615 ," (16,784)"," 1,344,066 ",,
Jun-08, 47 , 8 , (260)," 13,088 ", 630 ," (18,950)"," 1,379,474 ",,
Jul-08, 48 , 7 , (360)," 12,692 ", 646 ," (20,776)"," 1,399,752 ",,
Aug-08, 53 , 7 , (464)," 13,079 ", 665 ," (22,238)"," 1,418,296 ",,
Sep-08, 57 , 6 , (539)," 13,416 ", 685 ," (23,270)"," 1,419,633 ",,
Oct-08, 57 , 6 , (578)," 13,482 ", 703 ," (23,709)"," 1,475,036 ",,
Nov-08, 55 , 6 , (587)," 13,377 ", 720 ," (23,014)"," 1,491,902 ",,
Dec-08, 54 , 6 , (572)," 14,128 ", 738 ," (22,477)"," 1,489,332 ",,
Jan-09, 47 , 6 , (554)," 8,934 ", 776 ," (22,683)"," 1,373,938 ",,
Feb-09, 49 , 6 , (539)," 9,789 ", 830 ," (23,802)"," 1,421,391 ",,
Mar-09, 49 , 6 , (523)," 9,896 ", 881 ," (25,384)"," 1,446,126 ",,
Apr-09, 52 , 6 , (483)," 10,135 ", 928 ," (27,099)"," 1,477,469 ",,
May-09, 52 , 5 , (407)," 9,952 ", 959 ," (27,982)"," 1,493,604 ",,
Jun-09, 60 , 5 , (301)," 10,519 ", 976 ," (27,817)"," 1,528,246 ",,
Jul-09, 66 , 5 , (193)," 10,536 ", 985 ," (26,687)"," 1,508,505 ",,
Aug-09, 72 , 5 , (94)," 11,296 ", 995 ," (24,873)"," 1,797,168 ",,
Sep-09, 75 , 5 , (31)," 11,246 "," 1,015 "," (22,866)"," 1,812,664 ",,
Oct-09, 79 , 5 , (13)," 11,273 "," 1,048 "," (22,025)"," 1,785,753 ",,
Nov-09, 84 , 5 , (3)," 11,300 "," 1,097 "," (22,727)"," 1,799,881 ",,
Dec-09, 85 , 5 , (3)," 12,985 "," 1,152 "," (24,118)"," 1,754,655 ",,
Jan-10, 92 , 5 , (17)," 12,963 "," 1,208 "," (25,367)"," 1,784,063 ",,
Feb-10, 92 , 4 , (44)," 13,036 "," 1,260 "," (26,511)"," 1,953,629 ",,
Mar-10, 94 , 4 , (73)," 13,636 "," 1,306 "," (28,055)"," 2,013,841 ",,
Apr-10, 100 , 4 , (105)," 14,132 "," 1,363 "," (29,948)"," 2,147,714 ",,
May-10, 101 , 5 , (138)," 14,415 "," 1,434 "," (31,245)"," 2,234,018 ",,
Jun-10, 108 , 5 , (179)," 15,591 "," 1,533 "," (31,964)"," 2,421,537 ",,
Jul-10, 111 , 4 , (217)," 14,393 "," 1,643 "," (32,781)"," 2,535,035 ",,
Aug-10, 112 , 4 , (246)," 14,342 "," 1,751 "," (35,655)"," 2,640,456 ",,
Sep-10, 114 , 4 , (261)," 14,887 "," 1,847 "," (40,603)"," 2,890,020 ",,
Oct-10, 123 , 4 , (275)," 15,233 "," 1,932 "," (47,604)"," 3,131,721 ",,
Nov-10, 123 , 4 , (288)," 15,681 "," 2,016 "," (56,283)"," 3,286,059 ",,
Dec-10, 125 , 4 , (307)," 15,464 "," 2,091 "," (64,157)"," 3,328,648 ",,
Jan-11, 122 , 4 , (328)," 14,966 "," 2,157 "," (71,142)"," 3,597,997 ",,
Feb-11, 129 , 4 , (348)," 15,343 "," 2,216 "," (76,510)"," 3,947,018 ",,
Mar-11, 120 , 4 , (364)," 15,867 "," 2,270 "," (81,666)"," 4,001,083 ",,
Apr-11, 120 , 4 , (385)," 15,955 "," 2,341 "," (88,792)"," 4,346,384 ",,
May-11, 128 , 4 , (398)," 16,374 "," 2,424 "," (97,242)"," 4,456,139 ",,
Jun-11, 131 , 4 , (413)," 16,051 "," 2,517 "," (107,567)"," 4,705,086 ",,
Jul-11, 135 , 4 , (428)," 14,815 "," 2,602 "," (117,594)"," 4,703,223 ",,
Aug-11, 134 , 5 , (437)," 15,696 "," 2,683 "," (127,521)"," 4,838,220 ",,
Sep-11, 135 , 5 , (440)," 16,162 "," 2,761 "," (137,531)"," 5,324,487 ",,
Oct-11, 141 , 5 , (440)," 16,028 "," 2,838 "," (147,588)"," 5,460,040 ",,
Nov-11, 137 , 5 , (431)," 16,973 "," 2,928 "," (157,965)"," 6,023,142 ",,
Dec-11, 138 , 5 , (440)," 17,810 "," 3,030 "," (166,609)"," 6,116,440 ",,
Jan-12, 141 , 5 , (468)," 16,473 "," 3,155 "," (173,776)"," 6,274,908 ",,
Feb-12, 138 , 6 , (509)," 17,291 "," 3,299 "," (179,656)"," 6,694,282 ",,
Mar-12, 129 , 7 , (542)," 18,142 "," 3,456 "," (186,771)"," 6,557,636 ",,
Apr-12, 122 , 7 , (559)," 18,080 "," 3,653 "," (196,968)"," 7,053,865 ",,
May-12, 115 , 9 , (561)," 17,733 "," 3,868 "," (206,923)"," 7,275,017 ",,
Jun-12, 106 , 10 , (606)," 19,391 "," 4,097 "," (216,502)"," 7,548,021 ",,
Jul-12, 104 , 12 , (683)," 16,371 "," 4,311 "," (223,113)"," 7,694,227 ",,
Aug-12, 96 , 13 , (756)," 18,211 "," 4,535 "," (227,640)"," 7,940,315 ",,
Sep-12, 91 , 14 , (793)," 19,838 "," 4,783 "," (232,291)"," 8,287,041 ",,
Oct-12, 92 , 15 , (779)," 22,682 "," 5,064 "," (239,947)"," 8,464,344 ",,
Nov-12, 94 , 17 , (697)," 24,256 "," 5,398 "," (252,107)"," 9,130,210 ",,
Dec-12, 96 , 18 , (590)," 25,939 "," 5,733 "," (263,964)"," 9,026,631 ",,
Jan-13, 96 , 20 , (507)," 21,002 "," 6,064 "," (274,962)"," 9,250,521 ",,
Feb-13, 91 , 21 , (503)," 22,974 "," 6,367 "," (283,028)"," 10,114,959 ",,
Mar-13, 92 , 22 , (545)," 25,902 "," 6,621 "," (289,685)"," 9,679,072 ",,
Apr-13, 84 , 23 , (612)," 29,000 "," 6,887 "," (299,381)"," 10,446,723 ",,
May-13, 82 , 24 , (673)," 32,000 "," 7,136 "," (308,902)"," 10,663,058 ",,
Jun-13, 77 , 26 , (734)," 35,000 "," 7,371 "," (320,142)"," 11,320,438 ",,
Jul-13, 79 , 26 , (803)," 38,000 "," 7,555 "," (331,864)"," 11,178,927 ",,
Aug-13, 88 , 28 , (902)," 39,000 "," 7,702 "," (345,167)"," 11,337,202 ",,
Sep-13, 88 , 28 ," (1,072)"," 37,000 "," 7,825 "," (358,687)"," 12,004,950 ",,
Oct-13, 88 , 29 ," (1,279)"," 36,000 "," 7,920 "," (373,343)"," 12,151,620 ",,
Nov-13, 89 , 28 ," (1,462)"," 38,000 "," 7,998 "," (390,147)"," 13,086,024 ",,
Dec-13, 89 , 29 ," (1,610)"," 38,000 "," 8,062 "," (404,170)"," 13,103,616 ",,
Jan-14, 89 , 30 ," (1,752)"," 37,000 "," 8,148 "," (416,365)"," 13,046,882 ",,
Feb-14, 82 , 32 ," (1,859)"," 39,000 "," 8,265 "," (427,714)"," 14,341,122 ",,
Mar-14, 78 , 35 ," (1,937)"," 39,000 "," 8,391 "," (436,621)"," 13,458,326 ",,
Apr-14, 83 , 38 ," (2,007)"," 36,000 "," 8,530 "," (445,152)"," 14,022,185 ",,
May-14, 85 , 42 ," (2,089)"," 37,000 "," 8,627 "," (451,352)"," 13,863,377 ",,
Jun-14, 83 , 46 ," (2,282)"," 37,000 "," 8,659 "," (456,537)"," 14,530,690 ",,
Jul-14, 81 , 48 ," (2,553)"," 38,000 "," 8,654 "," (460,298)"," 14,371,096 ",,
Aug-14, 80 , 53 ," (2,834)"," 40,000 "," 8,659 "," (466,044)"," 14,749,918 ",,
Sep-14, 85 , 52 ," (3,083)"," 42,000 "," 8,703 "," (477,264)"," 15,509,995 ",,
Oct-14, 88 , 55 ," (3,266)"," 42,000 "," 8,788 "," (491,775)"," 15,374,932 ",,
Nov-14, 87 , 55 ," (3,380)"," 42,000 "," 8,907 "," (508,349)"," 16,028,211 ",,
Dec-14, 84 , 54 ," (3,443)"," 42,000 "," 9,008 "," (521,549)"," 15,924,919 ",,
Jan-15, 78 , 52 ," (3,499)"," 40,000 "," 9,076 "," (530,518)"," 16,749,948 ",,
Feb-15, 71 , 49 ," (3,549)"," 44,000 "," 9,099 "," (536,462)"," 16,814,295 ",,
Mar-15, 68 , 46 ," (3,593)"," 45,000 "," 9,117 "," (536,889)"," 17,029,524 ",,
Apr-15, 71 , 42 ," (3,612)"," 44,000 "," 9,174 "," (532,592)"," 16,832,284 ",,
May-15, 67 , 40 ," (3,541)"," 44,000 "," 9,302 "," (523,621)"," 16,474,068 ",,
Jun-15, 66 , 39 ," (3,388)"," 43,000 "," 9,541 "," (516,753)"," 16,320,859 ",,
Jul-15, 62 , 41 ," (3,235)"," 41,000 "," 9,877 "," (511,769)"," 16,587,954 ",,
Aug-15, 55 , 43 ," (3,108)"," 38,000 "," 10,315 "," (509,897)"," 16,918,345 ",,
Sep-15, 51 , 44 ," (3,072)"," 38,000 "," 10,788 "," (509,651)"," 17,016,914 ",,
Oct-15, 46 , 49 ," (3,129)"," 37,000 "," 11,262 "," (507,043)"," 16,660,018 ",,
Nov-15, 44 , 52 ," (3,154)"," 37,000 "," 11,737 "," (499,425)"," 16,924,270 ",,
Dec-15, 42 , 55 ," (3,095)"," 40,000 "," 12,189 "," (488,719)"," 17,457,385 ",,
Jan-16, 36 , 57 ," (2,954)"," 41,000 "," 12,673 "," (478,007)"," 18,120,000 ",,
Feb-16, 30 , 59 ," (2,799)"," 41,000 "," 13,177 "," (470,578)"," 18,582,000 ",,
Mar-16, 30 , 62 ," (2,685)"," 39,000 "," 13,669 "," (464,215)"," 18,222,000 ",,
Apr-16, 28 , 65 ," (2,564)"," 42,000 "," 14,179 "," (459,439)"," 18,011,000 ",,
May-16, 26 , 66 ," (2,424)"," 40,000 "," 14,611 "," (456,394)"," 17,965,000 ",,
Jun-16, 24 , 66 ," (2,266)"," 39,000 "," 14,920 "," (453,763)"," 17,970,000 ",,
Jul-16, 24 , 65 ," (2,116)"," 39,000 "," 15,084 "," (449,306)"," 18,158,000 ",,
Aug-16, 24 , 64 ," (2,075)"," 39,000 "," 15,120 "," (452,887)"," 18,155,000 ",,
Sep-16, 31 , 64 ," (2,072)"," 36,000 "," 15,017 "," (459,084)"," 17,799,000 ",,
Oct-16, 35 , 64 ," (2,078)"," 36,000 "," 15,021 "," (465,407)"," 17,416,000 ",,
Nov-16, 37 , 65 ," (2,090)"," 38,000 "," 15,058 "," (471,255)"," 18,445,000 ",,
Dec-16, 40 , 65 ," (2,107)"," 37,000 "," 15,096 "," (475,739)"," 18,848,000 ",,
Jan-17, 41 , 66 ," (2,131)"," 38,000 "," 15,127 "," (479,214)"," 18,893,000 ",,
Feb-17, 43 , 67 ," (2,166)"," 37,000 "," 15,143 "," (481,906)"," 18,996,000 ",,
Mar-17, 43 , 68 ," (2,207)"," 38,000 "," 15,148 "," (484,070)"," 18,906,000 ",,
Apr-17, 47 , 68 ," (2,265)"," 39,000 "," 15,145 "," (486,593)"," 18,989,000 ",,
May-17, 45 , 69 ," (2,331)"," 39,653 "," 15,141 "," (489,541)"," 19,156,560 ",,
Jun-17, 46 , 69 ," (2,410)"," 40,238 "," 15,140 "," (493,358)"," 19,367,230 ",,
Jul-17,, 70 ," (2,493)"," 41,000 "," 15,149 "," (497,824)"," 19,551,108 ",,
Aug-17,, 70 ," (2,586)"," 41,564 "," 15,168 "," (503,208)"," 19,751,675 ",,
