Niobrara Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 107 , 35 , (514)," 112,949 "," 1,213 "," (85,294)"," 3,442,569 ",,
Feb-07, 104 , 35 , (863)," 116,335 "," 1,226 "," (86,824)"," 3,518,441 ",,
Mar-07, 109 , 35 ," (1,157)"," 123,215 "," 1,237 "," (88,200)"," 3,551,176 ",,
Apr-07, 113 , 34 ," (1,460)"," 127,984 "," 1,250 "," (89,717)"," 3,539,804 ",,
May-07, 108 , 34 ," (1,732)"," 127,035 "," 1,262 "," (91,178)"," 3,666,603 ",,
Jun-07, 108 , 34 ," (1,999)"," 125,883 "," 1,275 "," (92,682)"," 3,650,909 ",,
Jul-07, 109 , 34 ," (2,249)"," 124,510 "," 1,288 "," (94,131)"," 3,655,305 ",,
Aug-07, 115 , 34 ," (2,503)"," 127,357 "," 1,302 "," (95,619)"," 3,758,777 ",,
Sep-07, 119 , 33 ," (2,751)"," 125,838 "," 1,317 "," (97,097)"," 3,718,468 ",,
Oct-07, 117 , 33 ," (2,982)"," 130,149 "," 1,333 "," (98,512)"," 3,725,980 ",,
Nov-07, 118 , 33 ," (3,174)"," 130,327 "," 1,349 "," (99,954)"," 3,901,644 ",,
Dec-07, 111 , 33 ," (3,223)"," 123,294 "," 1,365 "," (101,323)"," 4,003,747 ",,
Jan-08, 101 , 33 ," (3,219)"," 122,833 "," 1,380 "," (102,705)"," 3,999,794 ",,
Feb-08, 114 , 34 ," (3,203)"," 127,944 "," 1,393 "," (104,051)"," 4,049,715 ",,
Mar-08, 117 , 34 ," (3,226)"," 131,692 "," 1,401 "," (105,273)"," 4,194,058 ",,
Apr-08, 120 , 35 ," (3,316)"," 133,497 "," 1,416 "," (106,535)"," 4,321,287 ",,
May-08, 120 , 37 ," (3,441)"," 132,070 "," 1,432 "," (107,712)"," 4,397,156 ",,
Jun-08, 112 , 38 ," (3,583)"," 133,395 "," 1,451 "," (108,882)"," 4,475,516 ",,
Jul-08, 114 , 39 ," (3,673)"," 132,255 "," 1,472 "," (109,973)"," 4,430,437 ",,
Aug-08, 118 , 40 ," (3,926)"," 133,294 "," 1,498 "," (111,063)"," 4,483,682 ",,
Sep-08, 118 , 41 ," (4,137)"," 140,754 "," 1,528 "," (112,120)"," 4,580,384 ",,
Oct-08, 118 , 42 ," (4,311)"," 137,617 "," 1,561 "," (113,119)"," 4,631,774 ",,
Nov-08, 127 , 42 ," (4,429)"," 138,857 "," 1,601 "," (114,139)"," 4,678,802 ",,
Dec-08, 112 , 43 ," (4,536)"," 132,607 "," 1,650 "," (115,130)"," 4,636,701 ",,
Jan-09, 91 , 45 ," (4,462)"," 135,140 "," 1,712 "," (116,185)"," 4,757,523 ",,
Feb-09, 69 , 47 ," (4,444)"," 137,941 "," 1,782 "," (117,313)"," 4,823,952 ",,
Mar-09, 58 , 50 ," (4,408)"," 134,433 "," 1,849 "," (118,186)"," 4,749,438 ",,
Apr-09, 52 , 55 ," (4,354)"," 131,194 "," 1,927 "," (119,281)"," 4,668,135 ",,
May-09, 45 , 59 ," (4,248)"," 132,392 "," 2,006 "," (120,785)"," 4,729,170 ",,
Jun-09, 46 , 63 ," (4,004)"," 133,589 "," 2,090 "," (121,712)"," 4,668,541 ",,
Jul-09, 46 , 68 ," (3,778)"," 129,864 "," 2,173 "," (123,334)"," 4,603,293 ",,
Aug-09, 45 , 73 ," (3,551)"," 131,454 "," 2,260 "," (124,146)"," 4,659,359 ",,
Sep-09, 46 , 80 ," (3,434)"," 132,972 "," 2,347 "," (125,210)"," 4,432,842 ",,
Oct-09, 39 , 85 ," (3,310)"," 130,722 "," 2,431 "," (126,335)"," 4,590,326 ",,
Nov-09, 40 , 91 ," (3,316)"," 136,150 "," 2,514 "," (126,576)"," 4,723,534 ",,
Dec-09, 43 , 95 ," (3,536)"," 129,206 "," 2,584 "," (127,017)"," 4,639,907 ",,
