Permian Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 248 , 66 ," (11,448)"," 842,783 ", 546 ," (86,589)"," 4,602,751 ",,
Feb-07, 253 , 64 ," (11,621)"," 857,278 ", 538 ," (90,151)"," 4,707,089 ",,
Mar-07, 242 , 63 ," (11,781)"," 851,890 ", 531 ," (93,262)"," 4,763,247 ",,
Apr-07, 243 , 61 ," (11,969)"," 853,188 ", 522 ," (96,602)"," 4,810,339 ",,
May-07, 243 , 60 ," (12,163)"," 843,558 ", 514 ," (99,755)"," 4,829,143 ",,
Jun-07, 244 , 59 ," (12,380)"," 834,050 ", 506 ," (102,975)"," 4,777,216 ",,
Jul-07, 244 , 57 ," (12,603)"," 842,655 ", 499 ," (106,093)"," 4,854,855 ",,
Aug-07, 248 , 56 ," (12,844)"," 843,725 ", 494 ," (109,336)"," 4,864,610 ",,
Sep-07, 247 , 55 ," (13,090)"," 845,310 ", 491 ," (112,634)"," 4,763,171 ",,
Oct-07, 242 , 56 ," (13,328)"," 850,878 ", 482 ," (115,910)"," 4,746,210 ",,
Nov-07, 240 , 57 ," (13,566)"," 857,463 ", 477 ," (119,373)"," 4,748,380 ",,
Dec-07, 253 , 58 ," (13,781)"," 862,305 ", 477 ," (122,738)"," 4,719,482 ",,
Jan-08, 249 , 59 ," (13,975)"," 862,373 ", 481 ," (126,000)"," 4,689,778 ",,
Feb-08, 250 , 61 ," (14,125)"," 870,698 ", 485 ," (128,315)"," 4,857,919 ",,
Mar-08, 257 , 64 ," (14,214)"," 871,943 ", 487 ," (127,925)"," 4,811,604 ",,
Apr-08, 259 , 66 ," (14,295)"," 867,329 ", 484 ," (126,643)"," 4,811,614 ",,
May-08, 261 , 68 ," (14,707)"," 864,681 ", 482 ," (125,269)"," 4,841,039 ",,
Jun-08, 285 , 70 ," (15,277)"," 857,005 ", 486 ," (124,091)"," 4,747,036 ",,
Jul-08, 287 , 71 ," (15,919)"," 873,955 ", 471 ," (122,992)"," 4,831,703 ",,
Aug-08, 285 , 73 ," (16,568)"," 875,538 ", 468 ," (122,011)"," 4,824,268 ",,
Sep-08, 285 , 75 ," (17,099)"," 853,394 ", 467 ," (121,457)"," 4,255,852 ",,
Oct-08, 276 , 78 ," (17,467)"," 890,917 ", 468 ," (120,907)"," 4,754,422 ",,
Nov-08, 253 , 81 ," (17,641)"," 904,350 ", 463 ," (119,486)"," 4,799,196 ",,
Dec-08, 234 , 84 ," (17,648)"," 902,745 ", 460 ," (116,845)"," 4,855,895 ",,
Jan-09, 194 , 87 ," (17,527)"," 902,238 ", 462 ," (112,635)"," 4,828,594 ",,
Feb-09, 162 , 91 ," (17,295)"," 904,666 ", 464 ," (107,691)"," 4,806,824 ",,
Mar-09, 129 , 94 ," (17,066)"," 900,339 ", 466 ," (103,255)"," 4,723,645 ",,
Apr-09, 93 , 98 ," (16,841)"," 885,913 ", 462 ," (98,665)"," 4,644,789 ",,
May-09, 92 , 102 ," (16,730)"," 876,698 ", 457 ," (94,762)"," 4,707,028 ",,
Jun-09, 99 , 107 ," (16,760)"," 864,487 ", 449 ," (91,596)"," 4,692,781 ",,
Jul-09, 113 , 112 ," (16,908)"," 854,933 ", 443 ," (89,451)"," 4,568,437 ",,
Aug-09, 125 , 117 ," (17,116)"," 862,319 ", 436 ," (88,446)"," 4,557,615 ",,
Sep-09, 136 , 120 ," (17,324)"," 872,087 ", 423 ," (87,841)"," 4,558,567 ",,
Oct-09, 149 , 122 ," (17,457)"," 876,842 ", 413 ," (86,306)"," 4,512,146 ",,
Nov-09, 170 , 124 ," (17,499)"," 888,788 ", 403 ," (84,828)"," 4,567,771 ",,
Dec-09, 177 , 125 ," (17,457)"," 876,472 ", 401 ," (84,064)"," 4,384,209 ",,
Jan-10, 193 , 126 ," (17,454)"," 886,425 ", 404 ," (84,083)"," 4,408,280 ",,
Feb-10, 192 , 127 ," (17,699)"," 907,041 ", 407 ," (84,773)"," 4,495,919 ",,
Mar-10, 188 , 128 ," (18,053)"," 907,766 ", 408 ," (86,134)"," 4,462,260 ",,
Apr-10, 209 , 129 ," (18,621)"," 902,091 ", 402 ," (88,787)"," 4,471,584 ",,
May-10, 227 , 129 ," (19,325)"," 911,275 ", 394 ," (91,133)"," 4,484,482 ",,
Jun-10, 240 , 128 ," (20,184)"," 904,339 ", 382 ," (92,945)"," 4,375,290 ",,
Jul-10, 244 , 126 ," (21,089)"," 918,194 ", 365 ," (93,849)"," 4,393,229 ",,
Aug-10, 256 , 124 ," (22,038)"," 923,494 ", 345 ," (93,620)"," 4,366,209 ",,
Sep-10, 269 , 120 ," (22,930)"," 931,138 ", 325 ," (92,550)"," 4,348,222 ",,
Oct-10, 277 , 117 ," (23,697)"," 950,240 ", 309 ," (91,341)"," 4,375,941 ",,
