Back to Contents,Data 1: Proved Reserves as of 12/31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,RCRR01NUS_1,RCRR01R48_1,RCRR01R48F_1,RCRR01R5F_1,RCRR01R1901F_1,RCRR01R44F_1,RCRR01SAK_1,RCRR01SAL_1,RCRR01SAR_1,RCRR01SCA_1,RCRR01RCAC_1,RCRR01RCAL_1,RCRR01RCAJ_1,RCRR01RCASF_1,RCRR01SCO_1,RCRR01SFL_1,RCRR01SIL_1,RCRR01SIN_1,RCRR01SKS_1,RCRR01SKY_1,RCRR01SLA_1,RCRR01RLAN_1,RCRR01RLASO_1,RCRR01RLASF_1,RCRR01SMI_1,RCRR01SMS_1,RCRR01SMT_1,RCRR01SNE_1,RCRR01SNM_1,RCRR01RNMEAST_1,RCRR01RNMWEST_1,RCRR01SND_1,RCRR01SOH_1,RCRR01SOK_1,RCRR01SPA_1,RCRR01STX_1,RCRR01RTX01_1,RCRR01RTX02_1,RCRR01RTX03_1,RCRR01RTX04_1,RCRR01RTX05_1,RCRR01RTX06_1,RCRR01RTX07B_1,RCRR01RTX07C_1,RCRR01RTX08_1,RCRR01RTX08A_1,RCRR01RTX09_1,RCRR01RTX10_1,RCRR01RTXSF_1,RCRR01SUT_1,RCRR01SWV_1,RCRR01SWY_1,RCRR01RMS_1,
Date,U.S. Crude Oil Proved Reserves (Million Barrels),Lower 48 States Crude Oil Proved Reserves (Million Barrels),U.S. Federal Offshore Crude Oil Proved Reserves (Million Barrels),California Federal Offshore Crude Oil Proved Reserves (Million Barrels),Gulf of Mexico Federal Offshore - Louisiana and Alabama Crude Oil Proved Reserves (Million Barrels),Gulf of Mexico Federal Offshore - Texas Crude Oil Proved Reserves (Million Barrels),Alaska Crude Oil Proved Reserves (Million Barrels),Alabama Crude Oil Proved Reserves (Million Barrels),Arkansas Crude Oil Proved Reserves (Million Barrels),California Crude Oil Proved Reserves (Million Barrels),California - Coastal Region Onshore Crude Oil Proved Reserves (Million Barrels),California - Los Angeles Basin Onshore Crude Oil Proved Reserves (Million Barrels),California - San Joaquin Basin Onshore Crude Oil Proved Reserves (Million Barrels),California State Offshore Crude Oil Proved Reserves (Million Barrels),Colorado Crude Oil Proved Reserves (Million Barrels),Florida Crude Oil Proved Reserves (Million Barrels),Illinois Crude Oil Proved Reserves (Million Barrels),Indiana Crude Oil Proved Reserves (Million Barrels),Kansas Crude Oil Proved Reserves (Million Barrels),Kentucky Crude Oil Proved Reserves (Million Barrels),Louisiana Crude Oil Proved Reserves (Million Barrels),Louisiana - North Crude Oil Proved Reserves (Million Barrels),Louisiana - South Onshore Crude Oil Proved Reserves (Million Barrels),Louisiana State Offshore Crude Oil Proved Reserves (Million Barrels),Michigan Crude Oil Proved Reserves (Million Barrels),Mississippi Crude Oil Proved Reserves (Million Barrels),Montana Crude Oil Proved Reserves (Million Barrels),Nebraska Crude Oil Proved Reserves (Million Barrels),New Mexico Crude Oil Proved Reserves (Million Barrels),New Mexico - East Crude Oil Proved Reserves (Million Barrels),New Mexico - West Crude Oil Proved Reserves (Million Barrels),North Dakota Crude Oil Proved Reserves (Million Barrels),Ohio Crude Oil Proved Reserves (Million Barrels),Oklahoma Crude Oil Proved Reserves (Million Barrels),Pennsylvania Crude Oil Proved Reserves (Million Barrels),Texas Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 1 Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 2 Onshore Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 3 Onshore Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 4 Onshore Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 5 Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 6 Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 7B Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 7C Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 8 Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 8A Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 9 Crude Oil Proved Reserves (Million Barrels),Texas - RRC District 10 Crude Oil Proved Reserves (Million Barrels),Texas State Offshore Crude Oil Proved Reserves (Million Barrels),Utah Crude Oil Proved Reserves (Million Barrels),West Virginia Crude Oil Proved Reserves (Million Barrels),Wyoming Crude Oil Proved Reserves (Million Barrels),Miscellaneous States Crude Oil Proved Reserves (Million Barrels),
1900,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,13063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,15507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,17348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,19025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,19559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,20083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,20064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,20453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,20827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,20874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,21488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,23280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,24649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,25268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,27468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,27961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,28945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,29561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,30012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,30435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,30300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,30536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,31719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,31613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,31759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,31389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,30970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,30991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,31352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,31452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,31377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,30707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,29632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,39001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
