State,County,StateID,CountyID,Region,,,,,,,
MT,DAWSON,25,021,Bakken Region,,,,,,,
MT,MCCONE,25,055,Bakken Region,,,,,,,
MT,RICHLAND,25,083,Bakken Region,,,,,,,
MT,ROOSEVELT,25,085,Bakken Region,,,,,,,
MT,SHERIDAN,25,091,Bakken Region,,,,,,,
ND,BILLINGS,33,007,Bakken Region,,,,,,,
ND,BOTTINEAU,33,009,Bakken Region,,,,,,,
ND,BURKE,33,013,Bakken Region,,,,,,,
ND,DIVIDE,33,023,Bakken Region,,,,,,,
ND,DUNN,33,025,Bakken Region,,,,,,,
ND,GOLDEN VALLEY,33,033,Bakken Region,,,,,,,
ND,MCHENRY,33,049,Bakken Region,,,,,,,
ND,MCKENZIE,33,053,Bakken Region,,,,,,,
ND,MCLEAN,33,055,Bakken Region,,,,,,,
ND,MERCER,33,057,Bakken Region,,,,,,,
ND,MOUNTRAIL,33,061,Bakken Region,,,,,,,
ND,RENVILLE,33,075,Bakken Region,,,,,,,
ND,STARK,33,089,Bakken Region,,,,,,,
ND,WARD,33,101,Bakken Region,,,,,,,
ND,WILLIAMS,33,105,Bakken Region,,,,,,,
TX,ATASCOSA,42,013,Eagle Ford Region,,,,,,,
TX,BASTROP,42,021,Eagle Ford Region,,,,,,,
TX,BEE,42,025,Eagle Ford Region,,,,,,,
TX,BRAZOS,42,041,Eagle Ford Region,,,,,,,
TX,BURLESON,42,051,Eagle Ford Region,,,,,,,
TX,DEWITT,42,123,Eagle Ford Region,,,,,,,
TX,DIMMIT,42,127,Eagle Ford Region,,,,,,,
TX,FAYETTE,42,149,Eagle Ford Region,,,,,,,
TX,FRIO,42,163,Eagle Ford Region,,,,,,,
TX,GONZALES,42,177,Eagle Ford Region,,,,,,,
TX,KARNES,42,255,Eagle Ford Region,,,,,,,
TX,LA SALLE,42,283,Eagle Ford Region,,,,,,,
TX,LAVACA,42,285,Eagle Ford Region,,,,,,,
TX,LEE,42,287,Eagle Ford Region,,,,,,,
TX,LEON,42,289,Eagle Ford Region,,,,,,,
TX,LIVE OAK,42,297,Eagle Ford Region,,,,,,,
TX,MADISON,42,313,Eagle Ford Region,,,,,,,
TX,MAVERICK,42,323,Eagle Ford Region,,,,,,,
TX,MCMULLEN,42,311,Eagle Ford Region,,,,,,,
TX,MILAM,42,331,Eagle Ford Region,,,,,,,
