Back to Contents,Data 2: By Site,,
Sourcekey,E_ERTRR0_XR0_RUSON_C,E_ERTRR0_XR0_RUSOF_C,
Date,U.S. Onshore Crude Oil and Natural Gas Rotary Rigs in Operation (Count),U.S. Offshore Crude Oil and Natural Gas Rotary Rigs in Operation (Count),
Jan-1973,1120,99,
Feb-1973,1037,89,
Mar-1973,959,90,
Apr-1973,914,79,
May-1973,974,72,
Jun-1973,1042,76,
Jul-1973,1075,81,
Aug-1973,1140,82,
Sep-1973,1183,83,
Oct-1973,1250,84,
Nov-1973,1304,86,
Dec-1973,1318,87,
Jan-1974,1283,89,
Feb-1974,1264,91,
Mar-1974,1272,95,
Apr-1974,1280,101,
May-1974,1319,94,
Jun-1974,1342,90,
Jul-1974,1387,93,
Aug-1974,1426,92,
Sep-1974,1437,90,
Oct-1974,1493,91,
Nov-1974,1497,99,
Dec-1974,1540,103,
Jan-1975,1521,94,
Feb-1975,1518,93,
Mar-1975,1549,102,
Apr-1975,1503,102,
May-1975,1490,102,
Jun-1975,1507,106,
Jul-1975,1508,109,
Aug-1975,1533,112,
Sep-1975,1586,113,
Oct-1975,1604,112,
Nov-1975,1644,113,
Dec-1975,1677,116,
Jan-1976,1588,123,
Feb-1976,1468,126,
Mar-1976,1408,132,
Apr-1976,1356,124,
May-1976,1375,121,
Jun-1976,1426,120,
Jul-1976,1465,132,
Aug-1976,1563,128,
Sep-1976,1618,126,
Oct-1976,1666,128,
Nov-1976,1703,137,
Dec-1976,1716,145,
Jan-1977,1704,146,
Feb-1977,1690,166,
Mar-1977,1724,163,
Apr-1977,1745,162,
May-1977,1813,169,
Jun-1977,1839,169,
Jul-1977,1851,172,
Aug-1977,1888,178,
Sep-1977,1906,178,
Oct-1977,1932,169,
Nov-1977,1945,168,
Dec-1977,1973,168,
Jan-1978,1956,172,
Feb-1978,1954,181,
Mar-1978,1979,180,
Apr-1978,2016,182,
May-1978,2066,183,
Jun-1978,2103,184,
Jul-1978,2122,185,
Aug-1978,2127,198,
Sep-1978,2138,194,
Oct-1978,2156,190,
Nov-1978,2169,187,
Dec-1978,2098,188,
Jan-1979,1992,207,
Feb-1979,1858,206,
Mar-1979,1768,203,
Apr-1979,1736,207,
May-1979,1762,198,
Jun-1979,1794,205,
Jul-1979,1889,205,
Aug-1979,2014,208,
Sep-1979,2069,215,
Oct-1979,2169,211,
Nov-1979,2255,205,
Dec-1979,2336,216,
Jan-1980,2352,219,
Feb-1980,2397,216,
