Date,Monterey (CA),Austin Chalk (LA & TX),Granite Wash (OK & TX),Woodford (OK),"Marcellus (PA,WV,OH &NY)","Haynesville (LA, TX)","Niobrara-Codell (CO, WY)",Wolfcamp (TX & NM Permian),Bonespring (TX & NM Permian),Spraberry (TX & NM Permian),Bakken (ND & MT),Eagle Ford (TX),Yeso & Glorieta (TX & NM Permian),Delaware (TX & NM Permian),"Utica (OH, PA & WV)",,
1-Jan-00,0.06,0.07,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.03,0.03,0.00,,Units:
1-Feb-00,0.06,0.07,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.03,0.03,0.00,,mmbbl per day
1-Mar-00,0.06,0.07,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.03,0.03,0.00,,
1-Apr-00,0.06,0.07,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.03,0.03,0.00,,
1-May-00,0.06,0.07,0.01,0.00,0.00,0.00,0.01,0.04,0.01,0.08,0.02,0.00,0.03,0.03,0.00,,
1-Jun-00,0.06,0.07,0.01,0.00,0.00,0.00,0.01,0.04,0.01,0.07,0.02,0.00,0.03,0.03,0.00,,
1-Jul-00,0.06,0.06,0.01,0.00,0.00,0.00,0.01,0.04,0.01,0.07,0.02,0.00,0.03,0.03,0.00,,
1-Aug-00,0.06,0.06,0.01,0.00,0.00,0.00,0.01,0.04,0.01,0.07,0.02,0.00,0.03,0.03,0.00,,
1-Sep-00,0.06,0.06,0.01,0.00,0.00,0.00,0.01,0.04,0.01,0.07,0.02,0.00,0.03,0.03,0.00,,
1-Oct-00,0.06,0.06,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.04,0.03,0.00,,
1-Nov-00,0.06,0.06,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.04,0.03,0.00,,
1-Dec-00,0.06,0.06,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.03,0.03,0.00,,
1-Jan-01,0.06,0.06,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.04,0.03,0.00,,
1-Feb-01,0.06,0.06,0.01,0.00,0.00,0.00,0.02,0.04,0.01,0.08,0.02,0.00,0.04,0.03,0.00,,
