Utica Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 8 , 20 , (30)," 8,960 ", 135 ," (1,408)"," 153,389 ",,
Feb-07, 8 , 20 , (27)," 9,021 ", 141 ," (1,410)"," 153,990 ",,
Mar-07, 8 , 20 , (24)," 9,063 ", 147 ," (1,410)"," 155,423 ",,
Apr-07, 7 , 20 , (21)," 9,160 ", 153 ," (1,409)"," 156,747 ",,
May-07, 8 , 20 , (18)," 9,160 ", 158 ," (1,407)"," 156,747 ",,
Jun-07, 8 , 20 , (16)," 9,160 ", 164 ," (1,404)"," 156,747 ",,
Jul-07, 8 , 20 , (13)," 9,160 ", 170 ," (1,400)"," 156,747 ",,
Aug-07, 9 , 20 , (11)," 9,160 ", 176 ," (1,395)"," 156,747 ",,
Sep-07, 8 , 20 , (8)," 9,160 ", 183 ," (1,388)"," 156,747 ",,
Oct-07, 8 , 20 , (6)," 9,160 ", 189 ," (1,381)"," 156,747 ",,
Nov-07, 8 , 20 , (4)," 9,160 ", 195 ," (1,372)"," 156,747 ",,
Dec-07, 7 , 20 , (2)," 9,160 ", 201 ," (1,363)"," 156,747 ",,
Jan-08, 6 , 20 , 0 ," 9,160 ", 207 ," (1,354)"," 156,747 ",,
Feb-08, 7 , 20 , 2 ," 9,160 ", 214 ," (1,343)"," 156,747 ",,
Mar-08, 8 , 20 , 3 ," 9,160 ", 219 ," (1,333)"," 156,747 ",,
Apr-08, 7 , 20 , 4 ," 9,160 ", 226 ," (1,322)"," 156,747 ",,
May-08, 8 , 20 , 3 ," 9,160 ", 232 ," (1,312)"," 156,747 ",,
Jun-08, 7 , 20 , 0 ," 9,160 ", 238 ," (1,301)"," 156,747 ",,
Jul-08, 6 , 20 , (3)," 9,160 ", 244 ," (1,291)"," 156,747 ",,
Aug-08, 6 , 20 , (7)," 9,160 ", 250 ," (1,277)"," 156,747 ",,
Sep-08, 5 , 20 , (12)," 9,160 ", 256 ," (1,259)"," 156,747 ",,
Oct-08, 5 , 20 , (17)," 9,160 ", 262 ," (1,246)"," 156,747 ",,
Nov-08, 5 , 20 , (24)," 9,160 ", 269 ," (1,233)"," 156,747 ",,
Dec-08, 5 , 20 , (31)," 9,160 ", 275 ," (1,220)"," 156,747 ",,
Jan-09, 4 , 20 , (40)," 9,160 ", 281 ," (1,201)"," 156,747 ",,
Feb-09, 4 , 20 , (49)," 9,183 ", 285 ," (1,174)"," 156,747 ",,
Mar-09, 4 , 20 , (57)," 9,227 ", 288 ," (1,141)"," 157,315 ",,
Apr-09, 4 , 20 , (66)," 9,237 ", 290 ," (1,092)"," 158,880 ",,
May-09, 3 , 20 , (74)," 9,348 ", 290 ," (1,037)"," 160,275 ",,
Jun-09, 5 , 20 , (82)," 9,361 ", 289 , (983)," 161,475 ",,
Jul-09, 5 , 20 , (88)," 9,439 ", 286 , (942)," 161,990 ",,
Aug-09, 4 , 20 , (93)," 9,474 ", 283 , (916)," 163,371 ",,
Sep-09, 3 , 20 , (97)," 9,491 ", 278 , (914)," 163,864 ",,
Oct-09, 4 , 20 , (100)," 9,178 ", 272 , (932)," 164,440 ",,
Nov-09, 6 , 20 , (101)," 9,268 ", 265 , (970)," 158,928 ",,
Dec-09, 6 , 20 , (102)," 8,648 ", 258 ," (1,019)"," 160,096 ",,
Jan-10, 6 , 20 , (102)," 8,281 ", 251 ," (1,074)"," 160,984 ",,
Feb-10, 5 , 20 , (102)," 8,308 ", 245 ," (1,126)"," 162,078 ",,
Mar-10, 4 , 20 , (101)," 8,271 ", 239 ," (1,169)"," 162,669 ",,
Apr-10, 5 , 20 , (99)," 8,229 ", 235 ," (1,208)"," 163,926 ",,
May-10, 4 , 20 , (97)," 8,165 ", 231 ," (1,234)"," 165,135 ",,
Jun-10, 4 , 20 , (94)," 8,077 ", 229 ," (1,250)"," 167,682 ",,
Jul-10, 4 , 20 , (90)," 8,060 ", 227 ," (1,256)"," 168,626 ",,
Aug-10, 5 , 20 , (86)," 8,032 ", 224 ," (1,265)"," 170,759 ",,
Sep-10, 5 , 20 , (81)," 8,086 ", 222 ," (1,284)"," 171,335 ",,
Oct-10, 6 , 20 , (76)," 8,119 ", 220 ," (1,315)"," 171,648 ",,
Nov-10, 5 , 20 , (72)," 8,112 ", 217 ," (1,359)"," 155,998 ",,
Dec-10, 6 , 20 , (69)," 8,108 ", 213 ," (1,412)"," 156,135 ",,
Jan-11, 6 , 20 , (68)," 8,026 ", 210 ," (1,466)"," 149,832 ",,
Feb-11, 6 , 20 , (68)," 8,112 ", 207 ," (1,517)"," 151,155 ",,
Mar-11, 5 , 20 , (70)," 8,085 ", 206 ," (1,556)"," 151,660 ",,
Apr-11, 6 , 20 , (72)," 8,126 ", 206 ," (1,588)"," 151,835 ",,
May-11, 6 , 20 , (75)," 8,052 ", 209 ," (1,609)"," 151,763 ",,
Jun-11, 9 , 20 , (76)," 8,032 ", 215 ," (1,618)"," 159,357 ",,
Jul-11, 8 , 20 , (77)," 8,097 ", 222 ," (1,607)"," 161,157 ",,
Aug-11, 8 , 20 , (75)," 8,158 ", 231 ," (1,582)"," 163,931 ",,
Sep-11, 8 , 20 , (73)," 8,240 ", 242 ," (1,543)"," 165,560 ",,
Oct-11, 10 , 20 , (70)," 8,242 ", 252 ," (1,490)"," 167,213 ",,
Nov-11, 10 , 20 , (66)," 8,224 ", 263 ," (1,411)"," 167,235 ",,
Dec-11, 13 , 20 , (65)," 8,289 ", 274 ," (1,310)"," 167,254 ",,
Jan-12, 13 , 20 , (69)," 8,074 ", 286 ," (1,183)"," 149,012 ",,
